Callsign,QTH,MAIN URL:URL,MAIN URL:Title,MAIN URL:Description,GRAB URL:URL,GRAB URL:Title,GRAB URL:Description,Notes
G8NXD,"Mike GRABBER 2,Redruth",http://www.qsl.net/g8nxd/qrss/qrss.htm,,,http://www.qsl.net/g8nxd/qrss/qrss.htm,,,
GJ7RWT,"Jersey, England",http://www.qsl.net/gj7rwt/gj7rwthomepage.html,http://www.qsl.net/gj7rwt/lopshot1.jpg,,http://www.qsl.net/gj7rwt/lopshot1.jpg,,,
I2NDT,"Bergamo, Italia",http://digilander.libero.it/i2ndt/grabber/grabber.htm,http://digilander.libero.it/i2ndt/grabber/argo.jpg,,http://digilander.libero.it/i2ndt/grabber/argo.jpg,,,
IV3ONZ,"Redipuglia, Italy",http://www.iv3onz.altervista.org/qrss_grabber.php,http://www.iv3onz.altervista.org/images/spectran.jpg,,http://www.iv3onz.altervista.org/images/spectran.jpg,,,
IZ1KXQ,Italy,http://www.qsl.net/iz1kxq,http://www.qsl.net/iz1kxq/SL1.jpg,,http://www.qsl.net/iz1kxq/SL1.jpg,,,
IZ3NVR,"Roncade, Italy",http://www.qsl.net/iz3nvr/,http://www.qsl.net/iz3nvr/IZ3NVR_30m.jpg,,http://www.qsl.net/iz3nvr/IZ3NVR_30m.jpg,,,
KK7CC,"Las Vegas, Nevada",http://www.qsl.net/kk7cc/kk7ccgrabber.html,http://www.qsl.net/kk7cc/argo.jpg,,http://www.qsl.net/kk7cc/argo.jpg,,,
KL7L,"Wasilla, Alaska",http://kl7l.com/Alaska.html,http://kl7l.com/Alaska00000.jpg,,http://kl7l.com/Alaska00000.jpg,,,
LA5GOA,Steen,,http://la5goa.manglet.net/grabber,,http://la5goa.manglet.net/grabber,,,
MW0UZO,Daniel,,http://www.mw0uzo.co.uk,,http://www.mw0uzo.co.uk,,,
N9JL,"Shorewood, IL",http://qsl.net/n9jl/grabber.htm,http://qsl.net/n9jl/,,http://qsl.net/n9jl/capt.jpg,,,
NL9222,Netherlands,http://nl9222.home.xs4all.nl,http://nl9222.home.xs4all.nl/capt.jpg,,http://nl9222.home.xs4all.nl/capt.jpg,,,
ON4CDJ,Belgium,http://qsl.net/on4cdj/qrss,http://qsl.net/on4cdj/qrss/,,http://qsl.net/on4cdj/qrss/,,,
OZ9QV,Denmark,http://jgander.home.xs4all.nl/qrss-p/,http://jgander.home.xs4all.nl/qrss-p/qrss.jpg,,http://jgander.home.xs4all.nl/qrss-p/qrss.jpg,,,
PA0TAB,Netherlands,http://pa0tab.nl/grabber.html,http://pa0tab.nl/argo.jpg,,http://pa0tab.nl/argo.jpg,,,
PA1GSJ,Netherlands,http://www.qsl.net/dl1gsj/qrss/,https://dl.dropbox.com/u/80070437/pa1gsj.jpg,,https://dl.dropbox.com/u/80070437/pa1gsj.jpg,,,
PA1SDB,Netherlands,http://home.deds.nl/~knol/QRS-PA1SDB.jpg,http://home.deds.nl/~knol/QRS-PA1SDB.jpg,,http://home.deds.nl/~knol/QRS-PA1SDB.jpg,,,
PA2OHH,Spain,http://www.qsl.net/pa2ohh/grabber.htm,http://www.qsl.net/pa2ohh/lopshot1.jpg,,http://www.qsl.net/pa2ohh/,,,
PA3FYM,Netherlands,http://remco.org/grabber,http://www.qsl.net/pa3fym/grabber/lopshot1.jpg,,http://www.qsl.net/pa3fym/grabber/lopshot1.jpg,,,
PA9QV,Netherlands,http://jgander.home.xs4all.nl/qrss/,http://jgander.home.xs4all.nl/qrss/qrss.jpg,,http://jgander.home.xs4all.nl/qrss/qrss.jpg,,,
S52AS,"Novo Mesto, Slovenia",http://novomesto.zevs.si/graber.htm,http://novomesto.zevs.si/podatki/test.gif,,http://novomesto.zevs.si/podatki/test.gif,,,
SA6BSS,Mikael,,http://www.qsl.net/sa6bss,,http://www.qsl.net/sa6bss,,,
VA3ROM,"Ontario, Canada",http://va3rom.com/QRSS/QRSS.html,http://va3rom.com/QRSS/image1.jpg,,http://va3rom.com/QRSS/image1.jpg,,,
VE1VDM,"Nova Scotia, Canada",http://users.eastlink.ca/~ve1vdm/argocaptures/grabber.htm,http://users.eastlink.ca/~ve1vdm/argocaptures/argo.jpg,,http://users.eastlink.ca/~ve1vdm/argocaptures/argo.jpg,,,
VE3GTC,Graham,"Ontario, Canada",http://users.aei.ca/~planophore/grabber,,http://users.aei.ca/~planophore/grabber,,,
VK2DDI,New South Wales,http://www.users.on.net/~davroz/vk6di/argocaptures/argocaptures.html,http://www.users.on.net/~davroz/vk6di/argocaptures/argo.jpg,,http://www.users.on.net/~davroz/vk6di/argocaptures/argo.jpg,,,
VK7ZL,Southern Tasmania,http://www.users.on.net/~bobw/lf/,http://www.users.on.net/~bobw/lf/argo1.jpg,,http://www.users.on.net/~bobw/lf/argo1.jpg,,,
VE7IGH,"British Columbia, Canada",http://www.qsl.net/ve7igh/Grabber.htm,http://www.qsl.net/ve7igh/capt.jpg,,http://www.qsl.net/ve7igh/capt.jpg,,,
WB5FKC,"El Paso, TX",https://www.dropbox.com/s/n1d61ynnfi46ddb/HF.jpg?dl=0,https://dl.dropboxusercontent.com/s/n1d61ynnfi46ddb/HF.jpg,,https://dl.dropboxusercontent.com/s/n1d61ynnfi46ddb/HF.jpg,,,
WD4ELG,"Greensboro, NC",https://dl.dropboxusercontent.com/s/jrywq5hlefnr2jx/WD4ELG%20Grabber%20%20%28REFRESH%20for%20latest%20grab%29.jpg,https://dl.dropboxusercontent.com/s/jrywq5hlefnr2jx/WD4ELG%20Grabber%20%20%28REFRESH%20for%20latest%20grab%29.jpg,,https://dl.dropboxusercontent.com/s/jrywq5hlefnr2jx/WD4ELG%20Grabber%20%20%28REFRESH%20for%20latest%20grab%29.jpg,,,
W4HBK,"Bill,Pensacola, Florida",,http://www.qsl.net/w4hbk/W4HBKgrabber.html,,http://www.qsl.net/w4hbk/W4HBKgrabber.html,,,
W4HBK,"Bill,Pensacola, Florida",,http://www.qsl.net/w4hbk/W4HBKgrabberLast4Hours.html,,http://www.qsl.net/w4hbk/W4HBKgrabberLast4Hours.html,,,
W5GB,NMSU-ARC,,http://qrss.nmsu.edu/SPOTC-40M.html,,http://qrss.nmsu.edu/SPOTC-40M.html,,,
W5GB,NMSU-ARC,,http://qrss.nmsu.edu/SPOTD-30M.html,,http://qrss.nmsu.edu/SPOTD-30M.html,,,
ZL2IK,Pete,,http://zl2ik.com/Grabber.html,,http://zl2ik.com/Grabber.html,,,
ZL2IK,Pete,,http://zl2ik.com/Grabber4Hr.html,,http://zl2ik.com/Grabber4Hr.html,,,
PA0MBO,Holland,http://www.pa0mbo.nl/ties/public_html/hamradio/qrss/index.html,PA0MBO Multiband grabbers,,http://www.pa0mbo.nl/ties/public_html/hamradio/qrss/index.html,,,
WA5DJJ,NEW MEXICO,http://qsl.net/wa5djj/,WA5DJJ GRABBER,,http://qsl.net/wa5djj/DRH1.jpg,,,
G4HSK,"Essex county - South east England,UK",http://grabber.g4hsk.co.uk/,G4HSK grabber page,Steve's grabber page.,https://drive.google.com/uc?export=download&id=0B8Z2hz2xFYhubGtzLUZaQk03azQ,Direct link to Google Drive picture.,Direct link to Google Drive picture.,
G3ZJO,Northampton,http://qsl.net/g3zjo/qrssgrabber.html,Eddies grabber page,,http://www.qsl.net/g3zjo/HFgrab/hf1.jpg,,,
OK1FCX,Czech Republic,http://www.qsl.net/ok1fcx/,Main site,Radovan's grabber,http://www.qsl.net/ok1fcx/hf1.jpg,Latest grab link,Using uncached filename system,
